Alan Turing
Albert Einstein
Marie Curie
Sigmund Freud
Max Planck
Niels Bohr
Jonas Salk
Ivan Pavlov
Enrico Fermi
Alessandro Volta
Paul Dirac
Charles Darwin
Michael Faraday
John von Neumann
Alexander Fleming
Tim Berners-Lee
Stephen Hawking
Guglielmo Marconi
Alfred Nobel
Thomas Edison
Aretha Franklin
Ray Charles
Elvis Presley
Sam Cooke
John Lennon
Marvin Gaye
Bob Dylan
Otis Redding
Stevie Wonder
James Brown
Paul McCartney
Little Richard
Roy Orbison
Al Green
Robert Plant
Mick Jagger
Tina Turner
Freddie Mercury
Bob Marley
Smokey Robinson
